Kod obce,Nazev obce,Volici v seznamu,Vydane obalky,Platne hlasy,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,ROZUMNÍ-stop migraci\,diktát.EU,Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
570117,Šléglov,36,22,21,5,0,0,0,0,1,0,2,0,0,0,0,0,0,4,1,0,0,2,0,0,0,0,6,0
541168,Štíty,1651,938,932,194,2,1,62,1,33,97,6,4,10,3,0,66,0,6,245,0,1,91,0,4,0,1,101,4
523704,Šumperk,21697,12627,12562,1 197,22,12,932,10,812,1 034,114,78,213,31,12,1 084,9,468,4 007,9,15,632,12,73,19,14,1 720,33
553336,Třeština,314,196,195,19,1,0,13,1,15,13,3,1,0,0,0,10,0,0,81,0,0,16,0,0,0,1,21,0
541222,Úsov,975,549,546,37,1,0,25,1,18,58,5,6,8,0,0,49,2,17,214,0,4,34,0,2,1,5,58,1
541265,Velké Losiny,2357,1436,1425,137,6,1,104,1,60,111,10,17,12,5,3,128,2,41,504,2,0,80,0,3,1,0,186,11
554146,Vernířovice,186,109,107,16,0,1,7,0,10,6,3,0,5,0,0,9,0,5,24,0,0,11,0,0,0,0,10,0
553191,Vikantice,71,35,34,1,1,0,1,0,2,4,0,0,2,0,0,0,0,0,14,0,0,0,0,0,0,0,9,0
569445,Vikýřovice,1878,1197,1190,131,0,1,66,1,134,66,8,6,15,0,1,88,3,50,369,0,1,83,0,11,2,3,150,1
570095,Vyšehoří,187,119,117,7,0,0,5,0,15,14,0,2,3,0,0,5,0,0,38,0,0,9,0,0,0,2,17,0
541354,Zábřeh,11192,6685,6646,501,10,5,465,8,408,494,66,36,98,3,6,592,6,151,2 161,6,18,788,1,39,15,11,737,21
570338,Zborov,176,112,112,13,0,0,8,0,11,18,0,3,0,1,0,3,0,4,31,0,0,12,0,0,1,1,6,0
541478,Zvole,679,425,424,23,0,1,36,0,19,36,3,2,3,0,0,25,0,12,166,1,1,49,0,1,1,2,43,0
